 Not the woman. Not the corpse. Something else. Something that enters like a mist, or a memory, but is not. Something that enters like a dream, but is not. Something that enters like the first moments of waking, but is not.

It is a thing that is only itself. It has a shape. It is the shape of a woman, and it is the shape of a corpse. It is the shape of a woman and a corpse. It is the shape of a woman, and the shape of a corpse, but it is not them. It is the shape of their union.

I look at it. It looks at me.

It is a woman, and it is a corpse.

I see them both.

They are both there.

It is the woman.

It is the corpse.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both there.

They are both
